State or UT code,State or UT,Overall (%),Male (%),Female (%),Overall_2018 (%),Male_2018 (%),Female_2018 (%),Overall_2020 (%),Male_2020 (%),Female_2020 (%)
1,Jammu and Kashmir,86.61,87.26,86.23,92.93253,93.62998,92.52479,94.87083705,95.58283387,94.45459276
2,Himachal Pradesh,83.78,90.83,76.6,89.89594,97.46059,82.1918,91.77091246,99.49333945,83.90608611
3,Punjab,86.6,81.48,71.34,92.9218,87.42804,76.54782,94.85988326,89.25153912,78.14438882
4,Chandigarh,86.43,90.54,81.38,92.73939,97.14942,87.32074,94.67366871,99.17567933,89.14200115
5,Uttarakhand,79.63,88.33,70.7,85.44299,94.77809,75.8611,87.22508665,96.75489016,77.4433458
6,Haryana,76.64,85.38,66.77,82.23472,91.61274,71.64421,83.9499013,93.52352001,73.13850352
7,Delhi,86.34,91.03,80.93,92.64282,97.67519,86.83789,94.57508453,99.71241539,88.64908028
8,Rajasthan,67.06,80.51,52.66,71.95538,86.38723,56.50418,73.45616364,88.1890208,57.68269575
9,Uttar Pradesh,69.72,79.24,59.26,74.80956,85.02452,63.58598,76.36987368,86.79788856,64.91220187
10,Bihar,63.82,73.39,53.33,68.47886,78.74747,57.22309,69.90713337,80.38991723,58.41660016
11,Sikkim,82.2,87.29,76.43,88.2006,93.66217,82.00939,90.04021251,95.61569526,83.71987156
12,Arunachal Pradesh,66.95,73.69,59.57,71.83735,79.06937,63.91861,73.33567187,80.71853115,65.25176958
13,Nagaland,80.11,83.29,76.69,85.95803,89.37017,82.28837,87.75086891,91.2341764,84.00467029
14,Manipur,79.85,86.49,73.17,85.67905,92.80377,78.51141,87.46607019,94.73939149,80.14893369
15,Mizoram,91.58,93.72,89.4,98.26534,100.56156,95.9262,100.3148742,102.6589868,97.92694646
16,Tripura,87.75,92.18,83.15,94.15575,98.90914,89.21995,96.11956993,100.9721021,91.08082324
17,Meghalaya,75.48,77.17,73.78,80.99004,82.80341,79.16594,82.67926083,84.53045255,80.81711532
18,Assam,73.18,78.81,67.27,78.52214,84.56313,72.18071,80.15988749,86.32687528,73.68619338
19,West Bengal,77.08,82.67,71.16,82.70684,88.70491,76.35468,84.43186838,90.55504098,77.94722047
20,Jharkhand,67.63,78.45,56.21,72.56699,84.17685,60.31333,74.08053008,85.93253859,61.57129374
21,Odisha,72.9,82.4,64.36,78.2217,88.4152,69.05828,79.85318117,90.25928846,70.49863841
22,Chhattisgarh,71.04,81.45,60.59,76.22592,87.39585,65.01307,77.8157749,89.21867773,66.36905689
23,Madhya Pradesh,70.63,80.53,60.02,75.78599,86.40869,64.40146,77.36666922,88.21092839,65.74469045
24,Gujarat,79.31,87.23,70.73,85.09963,93.59779,75.89329,86.87456514,95.54997248,77.47620719
25,Daman & Diu,87.07,91.48,79.59,93.42611,98.15804,85.40007,95.37471172,100.2053363,87.18127146
26,Dadra and Nagar Haveli,77.65,86.46,65.93,83.31845,92.77158,70.74289,85.05623481,94.7065301,72.21838456
27,Maharashtra,83.2,89.82,75.48,89.2736,96.37686,80.99004,91.13559223,98.38700594,82.67926083
28,Andhra Pradesh,67.35,74.77,59.96,72.26655,80.22821,64.33708,73.77382376,81.90154124,65.67896767
29,Karnataka,75.6,82.85,68.13,81.1188,88.89805,73.10349,82.8107064,90.75220933,74.62821993
30,Goa,87.4,92.81,81.84,93.7802,99.58513,87.81432,95.73618703,101.6621913,89.64587582
31,Lakshadweep,92.28,96.11,88.25,99.01644,103.12603,94.69225,101.08164,105.2769443,96.66725979
32,Kerala,93.91,96.02,91.98,100.76543,103.02946,98.69454,102.867109,105.1783602,100.7530261
33,Tamil Nadu,80.33,86.81,73.86,86.19409,93.14713,79.25178,87.99185245,95.089913,80.9047457
34,Pondicherry,86.55,92.12,81.22,92.86815,98.84476,87.14906,94.80511427,100.9063793,88.96674039
35,Andaman and Nicobar Islands,86.27,90.11,81.84,92.56771,96.68803,87.81432,94.49840795,98.70466605,89.64587582
â€“,Overall (India),74.03,82.14,65.46,79.43419,88.13622,70.23858,81.09096025,89.97448973,71.7035561
